uid,year,year_disp,new_disp,massjun,sire_pres,dam_pres,dam_rs,age,colony,col_disp,valley,litter_effect,year_uid,disp_yn
552_592,1967,1967,1,1726.585101,0,0,no_wean,1,gothictown,gothictown,dv,NA,1967_552_592,1
5530_5541,2008,2008,1,911.4113155,0,0,no_wean,1,picnic,picnic,uv,4374_4379.2007,2008_5530_5541,1
5535_5537,2008,2008,0,865.9308298,0,0,no_wean,1,picnic,picnic,uv,NA,2008_5535_5537,0
553_554,1981,1981,0,1307.406695,0,1,wean,1,picnic,picnic,uv,174_175.1980,1981_553_554,0
5540_5546,2009,2009,0,901.9186066,1,1,wean,1,picnic,picnic,uv,5236_5230.2008,2009_5540_5546,0
5544_5539,2009,2009,1,NA,0,0,no_wean,1,river,bench,dv,4711_4706.2008,2009_5544_5539,1
5546_5561,2009,2009,1,1146.398175,0,0,no_wean,1,picnic,picnic,uv,NA,2009_5546_5561,1
5548_5526,2009,2009,1,NA,0,0,no_wean,1,bench,bench,dv,4711_4706.2008,2009_5548_5526,1
5554_5570,2008,2008,1,958.2083119,1,1,wean,1,mm,mm,uv,2688_2691.2007,2008_5554_5570,1
555_558b,1991,1991,0,848.9120628,0,0,no_wean,1,picnic,picnic,uv,NA,1991_555_558b,0
5560_5559,2008,2008,1,NA,1,1,no_wean,1,picnic,picnic,uv,3166_3174.2007,2008_5560_5559,1
556_557,1981,1981,0,1323.597724,0,1,wean,1,picnic,picnic,uv,174_175.1980,1981_556_557,0
557_568b,1991,1991,1,1119.943242,0,1,wean,1,picnic,picnic,uv,761_773.1990,1991_557_568b,1
5587_5298,2007,2007,0,1359.630884,1,1,wean,1,mm,mm,uv,4750_4301.2006,2007_5587_5298,0
5589_5870,2008,2008,0,1269.154625,1,1,wean,1,river,river,dv,4657_4995.2007,2008_5589_5870,0
5590_5152,2008,2008,1,NA,1,1,no_wean,1,bench,bench,dv,4715_4716.2007,2008_5590_5152,1
559_560a,1981,1981,0,1435.127165,0,1,no_wean,1,picnic,picnic,uv,167_168.1980,1981_559_560a,0
5603_6281,2009,2009,0,1358.515179,1,0,wean,1,gothictown,gothictown,dv,2849_2840.2008,2009_5603_6281,0
5604_5678,2009,2009,1,NA,1,0,no_wean,1,picnic,picnic,uv,4197_4198.2008,2009_5604_5678,1
5606_5607,2009,2009,1,1382.910919,1,0,no_wean,1,mm,mm,uv,2688_2691.2008,2009_5606_5607,1
5608_5616,2009,2009,0,1252.799084,1,0,no_wean,1,picnic,picnic,uv,2686_2690.2008,2009_5608_5616,0
5610_6024,2009,2009,1,NA,1,1,wean,1,gothictown,gothictown,dv,4509_4521.2008,2009_5610_6024,1
5612_5655,2009,2009,3,2066.012166,1,1,wean,1,gothictown,bench,dv,4026_4050.2008,2009_5612_5655,1
5618_5623,2009,2009,1,1182.979928,1,0,no_wean,1,picnic,picnic,uv,4197_4198.2008,2009_5618_5623,1
561_562,1981,1981,0,NA,0,1,wean,1,river,river,dv,14_15a.1980,1981_561_562,0
5624_5698,2009,2009,0,887.8358909,0,1,wean,1,picnic,picnic,uv,4508_4512.2008,2009_5624_5698,0
562_565a,1967,1967,1,1420.171977,0,0,no_wean,1,picnic,picnic,uv,52_54.1966,1967_562_565a,1
5634_5640,2010,2010,0,2048.725012,1,1,wean,1,gothictown,gothictown,dv,4237_4329.2009,2010_5634_5640,0
5635_5639,2009,2009,1,NA,1,0,no_wean,1,picnic,picnic,uv,2686_2690.2008,2009_5635_5639,1
5636_5557,2009,2009,1,NA,1,1,wean,1,river,river,dv,272_273.2008,2009_5636_5557,1
563_564,1981,1981,1,1361.305772,0,1,wean,1,picnic,picnic,uv,174_175.1980,1981_563_564,1
5650_5552,2010,2010,0,2520.369796,1,1,wean,1,bench,bench,dv,4932_4945.2009,2010_5650_5552,0
5657_5666,2009,2009,0,1197.587855,1,0,no_wean,1,picnic,picnic,uv,2686_2690.2008,2009_5657_5666,0
5662_5644,2009,2009,0,1278.296087,1,0,no_wean,1,mm,mm,uv,2688_2691.2008,2009_5662_5644,0
566_567a,1981,1981,1,1430.18386,0,0,no_wean,1,picnic,picnic,uv,920_921.1980,1981_566_567a,1
566_567b,1991,1991,0,960.4081067,0,0,no_wean,1,picnic,picnic,uv,NA,1991_566_567b,0
5677_5679,2009,2009,1,950.1119303,1,0,no_wean,1,mm,mm,uv,2688_2691.2008,2009_5677_5679,1
568_569,1981,1981,1,NA,0,1,no_wean,1,picnic,picnic,uv,167_168.1980,1981_568_569,1
5700_5464,2009,2009,1,1981.126838,1,1,wean,1,horsemound,horsemound,dv,4964_4968.2008,2009_5700_5464,1
5706_5707,2007,2007,1,1992.769666,1,1,wean,1,horsemound,horsemound,dv,4121_4597.2006,2007_5706_5707,1
5709_5711,2007,2007,1,1412.329291,1,1,wean,1,bench,bench,dv,4026_4050.2006,2007_5709_5711,1
5710_5776,2007,2007,1,1974.730043,1,1,wean,1,bench,bench,dv,4715_4716.2006,2007_5710_5776,1
5715_5701,2007,2007,1,2289.186974,1,1,wean,1,bench,bench,dv,4715_4716.2006,2007_5715_5701,1
5717_5791,2007,2007,1,NA,1,1,wean,1,horsemound,horsemound,dv,4121_4597.2006,2007_5717_5791,1
571_572,1981,1981,0,1302.035255,0,1,no_wean,1,picnic,picnic,uv,167_168.1980,1981_571_572,0
5728_5734,2006,2006,1,1498.969373,1,1,no_wean,1,picnic,picnic,uv,2822_2876.2005,2006_5728_5734,1
5729_4928,2007,2007,1,NA,0,0,no_wean,1,picnic,picnic,uv,2111_2113.2006,2007_5729_4928,1
572_575,1991,1991,0,723.0075027,0,1,wean,1,picnic,picnic,uv,761_773.1990,1991_572_575,0
5731_5745,2006,2006,0,1161.112711,1,0,no_wean,1,picnic,picnic,uv,2832_3111.2005,2006_5731_5745,0
5732_5727,2006,2006,0,1224.118582,1,1,wean,1,picnic,picnic,uv,2805_2809.2005,2006_5732_5727,0
5735_4506,2007,2007,1,1727.071988,1,1,no_wean,1,mm,mm,uv,2007_2008.2006,2007_5735_4506,1
5738_5726,2006,2006,1,1473.664689,0,1,wean,1,picnic,picnic,uv,2720_2749.2005,2006_5738_5726,1
5739_5733,2006,2006,0,1212.351337,1,0,no_wean,1,picnic,picnic,uv,2832_3111.2005,2006_5739_5733,0
573_574,1981,1981,0,1125.487791,0,1,no_wean,1,picnic,picnic,uv,301_307.1980,1981_573_574,0
5744_5743,2006,2006,1,1621.242817,1,0,no_wean,1,picnic,picnic,uv,2832_3111.2005,2006_5744_5743,1
5746_5730,2006,2006,1,1257.683876,1,0,no_wean,1,picnic,picnic,uv,2832_3111.2005,2006_5746_5730,1
5752_5747,2007,2007,0,1600.938612,1,1,wean,1,river,river,dv,4600_4985.2006,2007_5752_5747,0
5754_5798,2007,2007,1,NA,0,0,no_wean,1,picnic,picnic,uv,NA,2007_5754_5798,1
